Муниципальное образование,Метеорологическая станция
Александровский МО  ,г. Березники
Бардымский МО,г. Оса
Березовский МО,г. Кунгур
Большесосновский МО,с. Большая Соснова
Верещагинский ГО,г. Верещагино
Гайнский МО  ,п. Гайны
ГО город Березники,г. Березники
ГО город Кизел,г. Губаха
Горнозаводский ГО,п. Бисер
Губахинский МО,г. Губаха
Добрянский ГО,г. Добрянка
Еловский МО,с. Ножовка
ЗАТО Звездный,г. Пермь
Ильинский ГО,г. Чермоз
Карагайский МО,г. Верещагино
Кишертский МО,г. Кунгур
Косинский МО,с. Коса
Кочевский МО,с. Кочёво
Красновишерский ГО,п. Вая
Краснокамский ГО,г. Пермь
Кудымкарский МО,г. Кудымкар
Куединский МО,г. Чернушка
Кунгурский МО,г. Кунгур
Лысьвенский ГО,г. Лысьва
Нытвенский ГО,г. Верещагино
Октябрьский ГО,п. Октябрьский
Ординский МО,г. Кунгур
Осинский ГО,г. Оса
Оханский ГО,г. Оханск
Очерский ГО,г. Верещагино
Пермский ГО,г. Пермь
Пермский МО,г. Пермь
Сивинский МО,г. Верещагино
Соликамский ГО,г. Березники
Суксунский ГО,г. Кунгур
Уинский МО,г. Чернушка
Чайковский ГО,г. Чайковский
Частинский МО,с. Ножовка
Чердынский ГО,г. Чердынь
Чернушинский ГО,г. Чернушка
Чусовской ГО,г. Лысьва
Юрлинский МО,с. Кочёво
Юсьвинский МО,г. Кудымкар
