Наименование муниципального образования,Сетей теплоснабжения,Сетей холодного водоснабжения,Сетей горячего водоснабжения,Сетей электроснабжения,Сети газоснабжения,Станций водоподготовки,Водонасосных объектов,Объектов водозабора,Сетей водоотведения,Очистных сооружений канализации,Канализационных насосных станций,Котельных,Тепловых пунктов
Чердынский городской округ,70.0,80.0,,70.0,,,80.0,65.0,95.0,100.0,100.0,70.0,
Оханский городской округ,,80.0,0.0,,53.11,,,,90.0,80.0,,,
Кишертский муниципальный округ,57.0,75.0,0.0,0.0,35.0,65.0,80.0,75.0,95.8,99.8,99.8,87.0,
Сивинский муниципальный округ,81.05,91.88,0.0,0.0,0.0,0.0,0.0,100.0,100.0,78.5,51.5,55.71,0
Соликамский городской округ,80.0,73.0,80.0,55.0,10.0,66.0,66.05,36.93,73.0,75.62,55.25,80.0,80
Косинский муниципальный округ,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0
Чернушинский городской округ,45.0,40.0,60.0,,,80.0,80.0,80.0,80.0,90.0,90.0,53.5,77
Кудымкарский муниципальный округ,68.0,59.0,95.0,35.0,,57.0,0.0,95.0,78.0,83.0,86.0,70.0,50
Карагайский муниципальный округ,73.0,85.0,0.0,,,,90.0,90.0,95.0,81.0,81.0,47.0,-
ЗАТО Звездный,71.0,44.0,0.0,0.0,0.0,40.0,69.0,87.0,62.0,42.0,0.0,61.0,0
Пермский муниципальный округ,76.0,79.0,,22.0,41.0,64.0,73.0,40.0,75.0,67.0,63.0,,
Чайковский городской округ,88.8,79.75,100.0,20.71,33.9,80.69,76.83,91.77,63.0,44.0,78.95,44.87,2.53
Красновишерский городской округ,50.0,100.0,50.0,0.0,0.0,0.0,99.0,99.0,91.0,59.4,99.7,50.0,0
Губахинский муниципальный округ,326.5,233.0,82.6,,,99.0,201.9,249.0,269.3,100.0,90.0,187.49,200
Еловский муниципальный округ,99.8,96.6,0.0,,,0.0,100.0,0.0,100.0,64.0,100.0,66.9,0
Очерский городской округ ,,,,,,,,,,,,,
Ординский муниципальный округ,68.6,76.0,,,,,60.0,38.0,,,,37.0,
Бардымский муниципальный округ,80.0,408.0,80.0,,,,,50.0,65.0,70.0,90.0,,
Чусовской городской округ ,75.0,79.0,,,,100.0,32.1,72.2,75.0,75.6,23.7,75.0,80
Уинский  муниципальный округ,44.41,74.93,0.0,,,0.0,0.0,62.5,0.0,0.0,0.0,44.0,0
Юсьвинский муниципальный округ ,40.0,40.0,0.0,0.0,0.0,0.0,40.0,30.0,40.0,70.0,30.0,30.0,30
"муниципальное образование ""город Березники""",66.0,65.2,55.0,69.0,0.0,,96.820593214745,45.70235844944051,56.78830540334899,58.210571912924955,72.0108736278832,64.0,55
Кизеловский городской округ,70.0,,75.0,,,,,,,,,60.0,65
г. Пермь,,,,,,,,,,,,,
Кочевский муниципальный округ,0.0,45.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,40.0,0
Нытвенский городской округ,68.6,82.4,0.0,0.0,0.0,67.2,69.0,82.2,64.9,97.112,52.0,55.0,16
Добрянский городской округ,70.0,80.0,0.0,,,70.0,70.0,70.0,70.0,70.0,70.0,60.0,60
Куединский муниципальный округ,68.5,58.0,0.0,,,,,,17.0,,,54.5,29
Частинский муниципальный округ,50.0,100.0,,,30.0,,,,100.0,100.0,100.0,31.5,
Верещагинский городской округ,90.0,90.0,90.0,,,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90
Краснокамский городской округ,89.0,85.0,80.0,30.0,,,75.0,0.0,95.0,81.0,81.0,47.0,
Березовский муниципальный округ ,73.0,69.0,73.0,0.0,0.0,0.0,72.0,69.0,67.0,78.0,63.0,56.0,41.85
Кунгурский муниципальный округ,55.0,80.0,,99.0,,80.0,80.0,80.0,80.0,80.0,80.0,55.0,55
Лысьвенский городской округ  ,,316.0,,63.0,,,156.0,100.0,90.0,90.0,75.0,,
Горнозаводский городской округ,79.0,78.0,,,,,,,79.0,,,,
Большесосновский муниципальный округ,30.0,30.0,0.0,10.0,5.0,0.0,0.0,30.0,0.0,0.0,0.0,70.0,0
Гайнский муниципальный округ,82.0,39.0,,,,20.0,30.0,10.0,15.0,15.0,,78.0,
Александровский муниципальный округ,248.24,190.14,0.0,72.0,112.13,0.0,150.0,183.0,140.0,147.0,153.0,178.0,57.5
Юрлинский муниципальный округ,97.0,90.37,0.0,0.0,0.0,0.0,90.37,0.0,0.0,0.0,0.0,97.0,0
Ильинский городской округ,,,0.0,,,,,,,100.0,100.0,,
Октябрьский городской округ,60.0,58.0,,,,85.0,75.0,75.0,85.0,99.0,99.0,60.0,30
Осинский городской округ,77.0,20.0,69.0,,,,100.0,40.0,73.0,100.0,37.0,88.0,37
Суксунский  городской округ,60.0,86.14,0.0,,,,,72.9,61.9,71.5,71.28,65.0,
